# Number of photos processed: 500
#
# photo rank in Interestingness ; photoId ; nb of views ; nb of comments ; nb of favs ; nb of notes
#
1;6492031247;881;49;60;0
2;6491544293;293;60;53;0
3;6492518983;504;55;87;0
4;6492837431;100;32;26;0
5;6491888607;392;35;28;0
6;6492533849;701;52;40;1
7;6493824851;289;60;43;0
8;6491314381;422;15;26;0
9;6493508023;323;15;65;0
10;6495934923;209;7;45;0
11;6492439869;787;18;16;0
12;6491817825;299;11;27;0
13;6491215413;313;140;53;0
14;6491944889;228;21;26;0
15;6492748895;108;12;23;1
17;6492230709;371;39;56;2
16;6492506033;164;18;20;0
19;6493822057;155;4;26;0
18;6494666635;213;19;20;0
21;6493506335;107;16;34;1
20;6492905487;205;35;26;0
23;6491281119;183;33;20;0
22;6493129855;482;17;24;1
25;6493405099;145;9;17;0
24;6491562449;154;39;30;1
27;6492893037;625;51;112;0
26;6491562723;205;21;26;0
29;6491748925;210;49;21;0
28;6492254793;206;35;21;1
31;6491975559;190;35;18;0
30;6492732453;158;34;20;0
34;6491343207;264;26;15;2
35;6491348523;122;48;11;0
32;6492618319;165;67;36;0
33;6492254819;91;7;18;0
38;6491787413;125;25;15;0
39;6491320779;111;22;17;0
36;6493622259;80;17;12;0
37;6493098909;126;41;26;0
42;6494109639;102;10;16;0
43;6494201829;299;30;23;0
40;6492357159;66;4;22;0
41;6491750337;104;35;14;0
46;6491236889;118;10;7;0
47;6491427207;103;12;15;0
44;6492504189;80;26;10;0
45;6492012559;273;11;9;0
51;6491220935;101;12;9;0
50;6492960563;88;8;11;0
49;6492061751;185;68;47;0
48;6493129397;392;59;60;1
55;6492219153;63;34;12;0
54;6491528425;75;11;6;0
53;6492142271;125;15;7;0
52;6493147061;104;33;20;0
59;6491996083;34;17;3;0
58;6492729949;143;26;12;5
57;6491214209;105;40;21;0
56;6491500325;64;4;9;0
63;6492082131;30;14;5;0
62;6492118273;129;18;8;0
61;6493561247;978;70;175;0
60;6491218965;159;8;11;0
68;6491943283;103;3;14;0
69;6491373153;181;82;27;0
70;6493718173;116;14;10;0
71;6493053813;118;41;18;0
64;6491671283;74;12;9;0
65;6491314821;76;5;8;1
66;6493967239;117;38;25;0
67;6493690975;66;5;18;0
76;6493860101;146;10;21;0
77;6492780603;101;7;13;0
78;6492433313;186;65;45;0
79;6491681943;102;7;9;0
72;6491356523;192;53;15;1
73;6491903029;98;21;6;0
74;6491357165;186;6;5;0
75;6492655847;145;30;34;0
85;6491732153;95;16;13;0
84;6491887915;96;30;22;0
87;6494432579;91;6;13;0
86;6491972685;79;17;5;0
81;6492898987;234;13;19;0
80;6491582999;52;13;8;0
83;6494628135;338;32;78;4
82;6491600245;48;13;10;0
93;6494421087;296;8;79;0
92;6496225347;153;12;14;0
95;6494684813;60;23;8;0
94;6493782389;326;58;78;1
89;6492051381;188;13;16;0
88;6492902171;477;184;46;0
91;6491939515;174;6;6;0
90;6492016199;112;38;29;0
102;6493633805;311;68;45;1
103;6493386057;72;38;11;0
100;6492260163;27;9;8;0
101;6492054059;114;17;12;0
98;6492495587;475;46;13;0
99;6492400455;66;4;18;0
96;6493576127;110;28;16;0
97;6493356457;808;73;82;0
110;6491293499;56;5;11;0
111;6493691085;526;23;47;0
108;6491660089;58;9;12;0
109;6491363337;50;5;6;0
106;6493133521;268;41;37;0
107;6491681423;51;13;13;0
104;6492093431;89;12;10;0
105;6492076257;129;68;35;0
119;6491458129;116;20;14;0
118;6491489925;58;13;9;0
117;6491727289;56;11;12;0
116;6492818977;90;13;6;0
115;6494179191;42;23;10;0
114;6491406995;55;14;13;0
113;6491500429;159;12;10;0
112;6492187569;1814;16;9;0
127;6493755763;51;19;10;0
126;6494520279;1722;11;5;0
125;6491693391;132;9;4;0
124;6492569193;73;3;8;0
123;6492676563;54;25;11;0
122;6493596187;329;73;74;0
121;6491601115;149;13;16;0
120;6491837227;348;179;95;0
137;6492735833;76;10;11;0
136;6493426051;172;23;6;0
139;6491949253;63;6;4;0
138;6492070011;76;6;7;0
141;6492701171;59;7;3;0
140;6494182967;26;20;9;0
143;6491835665;81;13;4;0
142;6492269981;73;41;8;2
129;6492290999;49;23;13;0
128;6493686705;294;18;58;0
131;6491265323;75;10;8;0
130;6491820727;103;31;22;0
133;6493951251;64;21;4;0
132;6494034557;56;42;6;0
135;6491496945;39;12;10;0
134;6493766563;100;25;9;0
152;6492947129;111;16;11;0
153;6492345301;53;7;12;0
154;6492073565;106;4;7;0
155;6491924137;120;33;17;0
156;6491547545;28;6;10;0
157;6494251961;45;3;7;0
158;6492733663;55;12;6;0
159;6492483641;64;16;10;0
144;6491418737;38;17;10;1
145;6491279515;241;94;37;1
146;6491214901;83;35;15;0
147;6491204019;125;10;12;2
148;6493745085;236;21;15;0
149;6493480495;173;26;31;0
150;6493237709;69;4;9;0
151;6492979075;50;6;5;0
171;6493019819;45;19;6;0
170;6493087925;34;17;10;0
169;6494601265;70;13;8;0
168;6493287541;54;3;13;0
175;6491538481;27;44;4;0
174;6492373265;66;13;8;0
173;6492399591;135;11;12;0
172;6492968623;82;8;9;0
163;6492090441;132;12;17;2
162;6492960541;67;9;11;0
161;6493267809;52;21;10;0
160;6492461603;44;12;5;0
167;6496151671;56;9;6;1
166;6491538851;35;13;8;0
165;6491869455;62;8;4;2
164;6492014427;47;11;5;0
186;6491673731;42;8;4;0
