rank ; views ; comments ; favs ; notes ; groups ; tags
1;193;24;24;2;9;34
2;692;80;127;8;0;0
3;109;18;15;0;1;11
4;91;40;19;0;3;2
5;85;15;14;1;5;6
6;874;81;142;1;0;16
7;73;5;13;0;12;6
8;56;18;17;0;10;2
9;318;35;53;0;0;10
10;118;30;12;1;5;11
11;200;73;48;1;0;10
12;130;13;7;0;12;8
13;82;12;27;0;4;13
14;56;14;5;1;2;7
15;428;17;70;2;0;0
17;120;6;15;0;6;5
16;131;13;4;0;5;42
19;118;6;6;0;7;0
18;629;64;80;0;0;9
21;94;37;9;0;10;7
20;746;67;60;1;0;0
23;191;105;27;1;7;19
22;166;36;24;1;18;17
25;162;3;9;0;2;9
24;49;2;8;0;1;0
27;65;6;10;0;3;0
26;49;5;9;0;10;11
29;49;32;6;0;0;35
28;53;8;8;0;8;4
31;88;8;12;0;0;10
30;51;23;12;0;1;10
34;221;26;21;0;13;13
35;97;22;13;0;17;15
32;65;52;12;0;0;0
33;417;211;120;3;0;0
38;119;27;17;0;1;10
39;63;27;12;0;0;6
36;36;3;6;0;10;5
37;48;20;13;1;0;15
42;73;10;15;0;0;0
43;75;35;20;1;0;6
40;41;17;6;0;2;0
41;139;25;29;1;0;3
46;171;16;39;0;1;20
47;46;11;5;0;16;13
44;37;3;5;0;12;12
45;21;11;6;0;2;0
51;97;7;9;0;0;31
50;58;48;25;0;0;4
49;23;9;8;0;5;6
48;81;12;5;0;8;12
55;86;41;13;2;11;39
54;155;39;17;0;0;3
53;57;31;13;0;9;26
52;41;10;5;0;8;15
59;82;41;6;0;1;0
58;49;5;7;0;0;0
57;50;20;8;0;3;0
56;42;21;9;0;4;16
63;83;33;20;0;2;0
62;61;24;13;0;18;0
61;28;2;9;0;0;0
60;54;8;5;0;14;33
68;83;50;14;0;3;21
69;24;13;4;0;6;3
70;77;9;6;0;9;0
71;28;13;8;0;0;10
64;35;17;10;0;32;14
65;49;18;24;0;2;22
66;47;35;19;0;1;9
67;26;4;6;0;7;5
76;19;10;7;0;0;0
77;61;23;20;1;8;7
78;53;4;3;0;7;15
79;69;6;7;0;13;30
72;366;3;6;0;0;9
73;66;17;8;0;11;12
74;34;20;6;1;1;0
75;66;36;14;1;4;8
85;29;6;4;0;18;4
84;49;18;4;0;13;11
87;39;15;9;0;11;18
86;53;14;5;0;18;20
81;55;12;10;0;0;0
80;36;9;7;0;0;7
83;86;69;13;0;8;10
82;86;62;24;0;5;9
93;55;41;6;1;0;15
92;23;4;4;0;10;8
95;21;2;5;0;11;1
94;40;13;5;0;0;24
89;72;39;18;0;7;13
88;48;4;6;0;0;0
91;59;10;5;0;9;26
90;54;20;8;1;4;5
102;40;7;12;0;21;4
103;54;6;9;0;7;0
100;35;11;8;0;0;4
101;42;6;6;0;4;0
98;65;1;8;0;6;7
99;98;26;5;0;11;0
96;25;6;5;0;7;9
97;99;66;28;1;0;0
110;61;46;5;1;24;5
111;73;7;27;0;5;0
108;57;46;13;0;2;14
109;136;109;20;0;18;17
106;47;4;8;0;0;0
107;192;94;33;0;0;10
104;33;9;7;0;2;3
105;444;19;48;4;13;5
119;19;13;3;0;1;9
118;57;22;8;0;0;13
117;32;19;10;0;0;11
116;321;50;100;0;14;16
115;98;25;18;1;0;0
114;42;27;7;0;0;20
113;66;14;4;1;5;12
112;47;23;13;1;0;17
127;93;40;19;0;18;1
126;14;3;5;0;0;0
125;23;7;6;0;0;5
124;37;1;7;0;10;0
123;49;11;5;0;10;5
122;42;10;25;0;0;0
121;39;17;12;0;0;0
120;26;13;10;0;0;0
137;26;11;3;0;3;0
136;20;10;3;0;1;0
139;105;52;10;0;2;5
138;119;9;27;0;9;0
141;34;3;5;0;4;2
140;214;11;17;0;25;19
143;77;8;21;0;25;5
142;90;2;9;0;22;0
129;9;5;4;0;0;15
128;70;8;10;1;2;6
131;13;4;3;0;7;8
130;80;4;5;0;0;25
133;53;19;10;2;0;4
132;124;3;36;0;0;0
135;88;14;5;0;18;16
134;118;9;14;0;0;0
152;27;11;5;0;0;7
153;51;33;7;0;0;0
154;53;4;4;0;15;11
155;25;6;13;0;0;0
156;38;12;8;0;0;6
157;32;20;3;0;0;4
158;44;11;5;0;0;2
159;49;15;6;0;0;24
144;47;12;15;0;0;45
145;25;4;4;0;0;5
146;42;2;6;0;0;6
147;21;7;4;0;1;11
148;19;8;5;3;3;6
149;37;4;8;2;0;0
150;44;11;5;0;12;8
151;59;2;11;0;7;18
171;70;6;8;0;17;0
170;26;3;11;0;0;0
169;86;40;9;0;0;7
168;44;1;7;0;5;25
175;18;2;5;0;0;0
174;48;18;14;0;2;17
173;238;39;3;0;0;0
172;46;4;6;0;0;12
163;65;9;3;0;24;4
162;47;33;10;0;4;12
161;38;20;9;0;7;15
160;49;12;8;0;11;6
167;142;9;15;1;1;14
166;24;1;8;0;0;0
165;17;6;3;0;0;11
164;88;59;35;0;1;5
186;29;5;6;0;1;3
187;57;14;9;0;1;1
184;55;6;11;0;26;25
185;56;21;6;0;12;2
190;49;7;5;0;4;0
191;24;3;4;0;12;1
188;40;4;11;0;2;11
189;39;4;4;0;5;0
